Enroll,READING,WRITING,LISTENING,ORAL,FINAL,NIVEL,adm_administration_date
58410,20,12,19,20,B,2,1/28/2023
58454,9,6,6,5,E,2,1/28/2023
58357,20,11,14,20,C,2,1/28/2023
58687,6,3,6,10,E,2,1/28/2023
58441,20,14,16,20,B,2,1/28/2023
58665,22,11,20,20,A,2,1/28/2023
58728,17,9,15,15,C,2,1/28/2023
58632,14,8,14,17,C,2,1/28/2023
58746,10,3,7,0,E,2,1/28/2023
58677,16,10,12,20,C,2,1/28/2023
58380,17,9,16,20,C,2,1/28/2023
59480,10,4,11,12,D,2,1/28/2023
59646,16,8,17,16,C,2,1/28/2023
59134,9,7,13,12,D,2,1/28/2023
58716,21,8,11,17,C,2,1/28/2023
59031,16,6,11,12,D,2,1/28/2023
59196,17,6,14,16,C,2,1/28/2023
59174,4,1,4,0,E,2,1/28/2023
59168,16,11,15,15,C,2,1/28/2023
59269,19,14,15,17,B,2,1/28/2023
59175,20,14,18,20,A,2,1/28/2023
59078,18,5,16,15,C,2,1/28/2023
59415,17,11,12,17,C,2,1/28/2023
59203,15,5,14,17,D,2,1/28/2023
59303,20,12,18,20,B,2,1/28/2023
59518,15,8,12,15,D,2,1/28/2023
59601,21,7,12,16,C,2,1/28/2023
59241,18,7,14,15,C,2,1/28/2023
59627,19,11,18,18,B,2,1/28/2023
59770,14,6,9,9,E,2,1/28/2023
59792,19,14,17,14,C,2,1/28/2023
59990,14,3,9,12,D,2,1/28/2023
58982,18,8,16,19,C,2,1/28/2023
58317,13,7,10,18,D,2,1/28/2023
58907,20,13,18,20,B,2,1/28/2023
59321,20,12,17,20,B,2,1/28/2023
59300,14,10,15,13,D,2,1/28/2023
58944,17,11,17,19,C,2,1/28/2023
59146,16,7,15,20,C,2,1/28/2023
59176,20,13,19,20,A,2,1/28/2023
59285,22,13,18,20,A,2,1/28/2023
59383,19,6,14,19,C,2,1/28/2023
59644,21,12,18,18,A,2,1/28/2023
59656,20,12,18,18,B,2,1/28/2023
59566,18,8,16,17,C,2,1/28/2023
59573,15,9,11,18,D,2,1/28/2023
59707,19,8,12,15,C,2,1/28/2023
59776,19,12,13,19,C,2,1/28/2023
58860,19,14,16,17,B,2,1/28/2023
59132,19,3,6,11,D,2,1/28/2023
58782,17,9,16,17,C,2,1/28/2023
58756,11,1,10,11,D,2,1/28/2023
58781,20,10,14,16,C,2,1/28/2023
58411,22,12,19,18,A,2,1/28/2023
58991,17,11,15,14,C,2,1/28/2023
58743,13,2,6,9,E,2,1/28/2023
58996,17,9,15,12,C,2,1/28/2023
59124,14,4,14,12,D,2,1/28/2023
59382,20,11,16,12,C,2,1/28/2023
59319,15,11,14,15,C,2,1/28/2023
59695,8,3,10,7,E,2,1/28/2023
59917,18,3,15,7,E,2,1/28/2023
59875,15,2,10,9,E,2,1/28/2023
59998,21,11,17,16,B,2,1/28/2023
58575,20,4,10,11,D,2,1/28/2023
58768,13,6,9,16,D,2,1/28/2023
58487,20,10,13,20,C,2,1/28/2023
58858,16,11,14,11,C,2,1/28/2023
58376,11,3,12,13,D,2,1/28/2023
59046,19,13,18,19,B,2,1/28/2023
58930,17,5,11,9,E,2,1/28/2023
58998,12,3,11,9,E,2,1/28/2023
58993,21,11,17,20,B,2,1/28/2023
59320,19,6,11,18,D,2,1/28/2023
59615,19,11,17,20,B,2,1/28/2023
59582,19,8,16,15,C,2,1/28/2023
59946,21,14,14,15,B,2,1/28/2023
59928,18,9,11,16,C,2,1/28/2023
59852,12,2,13,10,E,2,1/28/2023
59795,16,7,14,16,C,2,1/28/2023
60002,16,6,13,17,D,2,1/28/2023
59062,15,9,17,18,C,2,1/28/2023
58417,17,6,13,14,D,2,1/28/2023
59249,13,8,11,16,D,2,1/28/2023
59044,14,5,7,13,D,2,1/28/2023
59204,17,8,8,16,D,2,1/28/2023
58919,19,10,18,18,B,2,1/28/2023
59348,14,5,7,13,D,2,1/28/2023
59322,16,5,13,13,D,2,1/28/2023
59359,16,6,12,18,D,2,1/28/2023
59310,20,15,17,15,B,2,1/28/2023
59645,0,0,0,0,-,2,1/28/2023
59578,10,6,14,16,D,2,1/28/2023
59639,18,14,13,18,B,2,1/28/2023
59616,20,10,15,11,C,2,1/28/2023
59628,22,10,17,19,B,2,1/28/2023
59668,18,13,19,19,B,2,1/28/2023
59880,12,6,14,20,D,2,1/28/2023
59894,18,9,20,20,B,2,1/28/2023
59938,16,6,9,20,D,2,1/28/2023
59890,9,3,10,18,D,2,1/28/2023
59989,11,4,10,18,D,2,1/28/2023
59988,14,5,9,20,D,2,1/28/2023
59081,17,7,14,14,C,2,1/28/2023
58559,12,4,11,6,E,2,1/28/2023
58754,16,11,17,17,C,2,1/28/2023
59195,15,3,7,13,D,2,1/28/2023
59058,19,12,15,18,B,2,1/28/2023
58950,19,5,13,15,C,2,1/28/2023
59213,13,4,10,11,D,2,1/28/2023
59268,11,2,9,8,E,2,1/28/2023
59424,18,9,16,18,C,2,1/28/2023
59376,19,12,20,19,A,2,1/28/2023
59593,20,4,10,13,D,2,1/28/2023
59429,16,5,11,11,D,2,1/28/2023
59710,21,12,17,20,B,2,1/28/2023
59733,20,7,15,17,C,2,1/28/2023
59693,20,11,17,20,B,2,1/28/2023
60011,21,10,16,18,B,2,1/28/2023
59910,19,12,17,19,B,2,1/28/2023
59717,19,10,17,15,B,2,1/28/2023
60014,19,9,16,14,C,2,1/28/2023
58841,17,5,11,11,D,2,1/28/2023
58913,20,9,14,15,C,2,1/28/2023
58992,18,12,18,19,B,2,1/28/2023
59201,19,11,17,20,B,2,1/28/2023
59151,17,10,17,16,C,2,1/28/2023
58943,8,1,7,6,E,2,1/28/2023
59352,14,4,9,15,D,2,1/28/2023
59385,18,6,13,15,C,2,1/28/2023
59405,20,15,17,20,A,2,1/28/2023
59414,21,8,15,16,C,2,1/28/2023
59589,17,3,12,13,D,2,1/28/2023
59520,14,4,8,5,E,2,1/28/2023
59853,20,9,15,19,B,2,1/28/2023
59614,20,5,13,15,C,2,1/28/2023
59712,18,13,15,19,B,2,1/28/2023
60005,16,7,11,9,E,2,1/28/2023
59743,18,11,16,20,B,2,1/28/2023
59993,14,4,11,12,D,2,1/28/2023
59909,17,7,12,14,D,2,1/28/2023
59934,20,12,18,20,B,2,1/28/2023
59995,15,3,14,13,D,2,1/28/2023
60010,21,12,17,19,B,2,1/28/2023
58971,18,11,18,19,B,2,1/28/2023
58640,21,10,17,20,B,2,1/28/2023
58587,14,6,12,11,D,2,1/28/2023
58659,9,5,7,5,E,2,1/28/2023
58511,16,7,11,15,D,2,1/28/2023
58853,13,8,11,9,E,2,1/28/2023
58941,20,7,15,12,C,2,1/28/2023
58503,15,7,15,10,D,2,1/28/2023
59119,14,8,8,8,E,2,1/28/2023
58804,19,12,17,20,B,2,1/28/2023
59207,18,2,16,18,D,2,1/28/2023
59186,18,8,10,11,D,2,1/28/2023
59342,10,3,10,10,E,2,1/28/2023
59289,12,7,14,13,D,2,1/28/2023
59464,13,10,17,18,C,2,1/28/2023
59683,11,5,10,13,D,2,1/28/2023
59661,21,7,13,13,C,2,1/28/2023
59696,14,6,11,13,D,2,1/28/2023
59652,8,5,9,10,E,2,1/28/2023
59651,16,5,14,9,E,2,1/28/2023
59982,17,14,16,19,B,2,1/28/2023
60022,13,4,9,18,D,2,1/28/2023
59948,20,12,12,20,C,2,1/28/2023
60009,15,9,16,12,C,2,1/28/2023
58937,21,14,16,16,B,2,1/28/2023
58525,15,7,10,11,D,2,1/28/2023
58641,18,3,12,15,D,2,1/28/2023
58377,16,8,16,19,C,2,1/28/2023
58624,6,2,5,6,E,2,1/28/2023
58325,14,1,12,8,E,2,1/28/2023
58759,11,1,12,10,E,2,1/28/2023
58798,15,6,13,13,D,2,1/28/2023
58469,19,11,16,19,B,2,1/28/2023
58769,16,6,8,12,D,2,1/28/2023
58605,12,5,11,10,E,2,1/28/2023
58718,9,2,9,5,E,2,1/28/2023
59217,20,9,12,17,C,2,1/28/2023
58464,17,4,9,11,D,2,1/28/2023
58817,17,12,18,17,B,2,1/28/2023
58552,12,5,10,8,E,2,1/28/2023
59216,8,2,4,13,D,2,1/28/2023
58645,19,2,9,11,D,2,1/28/2023
59460,18,7,16,13,C,2,1/28/2023
59621,21,12,20,20,A,2,1/28/2023
58431,12,3,13,16,D,2,1/28/2023
58568,17,7,14,16,C,2,1/28/2023
58809,14,7,14,17,D,2,1/28/2023
58341,19,11,12,19,C,2,1/28/2023
58448,21,10,15,14,C,2,1/28/2023
58905,15,10,14,18,C,2,1/28/2023
58415,17,4,12,15,D,2,1/28/2023
58397,13,7,11,15,D,2,1/28/2023
58345,21,11,17,20,B,2,1/28/2023
58318,18,5,10,20,D,2,1/28/2023
58945,13,7,11,19,D,2,1/28/2023
58391,17,12,14,20,C,2,1/28/2023
59239,19,9,11,17,C,2,1/28/2023
58572,17,13,17,19,B,2,1/28/2023
58540,17,6,14,12,D,2,1/28/2023
59282,19,11,16,17,B,2,1/28/2023
58800,16,8,16,20,C,2,1/28/2023
58597,20,13,17,20,B,2,1/28/2023
59448,15,5,13,16,D,2,1/28/2023
59476,14,3,10,14,D,2,1/28/2023
58482,15,7,13,15,D,2,1/28/2023
58352,18,9,11,14,C,2,1/28/2023
58773,19,10,16,18,B,2,1/28/2023
58932,20,10,17,19,B,2,1/28/2023
58425,6,2,7,9,E,2,1/28/2023
58319,18,15,17,13,C,2,1/28/2023
58940,19,7,18,19,C,2,1/28/2023
58698,14,5,16,15,D,2,1/28/2023
58569,21,13,16,20,B,2,1/28/2023
58611,20,14,20,19,A,2,1/28/2023
58708,19,9,13,18,C,2,1/28/2023
58332,18,10,19,20,B,2,1/28/2023
58408,16,4,13,14,D,2,1/28/2023
58949,16,10,17,14,C,2,1/28/2023
58384,17,6,15,19,C,2,1/28/2023
58636,22,15,18,20,A,2,1/28/2023
58938,14,1,7,10,E,2,1/28/2023
58776,10,4,8,8,E,2,1/28/2023
59210,20,8,14,18,C,2,1/28/2023
59430,18,6,15,16,C,2,1/28/2023
59754,16,3,11,11,D,2,1/28/2023
58723,12,5,11,16,D,2,1/28/2023
58729,16,10,17,15,C,2,1/28/2023
58372,15,4,11,14,D,2,1/28/2023
58658,15,6,10,11,D,2,1/28/2023
58886,14,5,13,19,D,2,1/28/2023
58876,17,8,14,17,C,2,1/28/2023
58724,18,9,17,20,B,2,1/28/2023
58413,19,12,12,20,C,2,1/28/2023
58589,15,9,10,12,D,2,1/28/2023
58346,14,1,8,10,E,2,1/28/2023
58916,10,2,9,5,E,2,1/28/2023
58702,16,6,13,10,E,2,1/28/2023
58333,19,11,19,20,B,2,1/28/2023
58915,16,11,13,16,C,2,1/28/2023
58561,16,8,10,14,D,2,1/28/2023
58831,12,6,12,19,D,2,1/28/2023
58924,15,5,14,14,D,2,1/28/2023
59482,11,1,8,7,E,2,1/28/2023
59984,18,12,18,17,B,2,1/28/2023
58884,16,6,17,16,C,2,1/28/2023
58368,20,9,15,19,C,2,1/28/2023
58902,15,6,13,17,D,2,1/28/2023
58510,13,5,12,11,D,2,1/28/2023
58761,13,4,10,13,D,2,1/28/2023
58697,16,11,16,15,C,2,1/28/2023
58791,10,2,11,9,E,2,1/28/2023
58620,18,12,16,18,B,2,1/28/2023
58430,20,13,19,19,A,2,1/28/2023
58585,20,13,17,17,B,2,1/28/2023
58496,15,4,9,10,E,2,1/28/2023
58942,18,9,11,16,C,2,1/28/2023
58664,21,13,20,19,A,2,1/28/2023
58434,17,6,14,12,C,2,1/28/2023
59246,21,13,20,20,A,2,1/28/2023
58786,14,9,13,12,C,2,1/28/2023
58767,15,6,19,18,C,2,1/28/2023
59252,18,5,11,16,D,2,1/28/2023
59457,21,13,15,20,B,2,1/28/2023
59763,8,3,10,11,D,2,1/28/2023
58887,16,9,17,18,C,2,1/28/2023
58353,16,9,13,19,C,2,1/28/2023
58555,14,8,14,14,D,2,1/28/2023
58472,20,8,16,15,C,2,1/28/2023
58315,19,9,16,12,C,2,1/28/2023
58870,22,13,17,18,A,2,1/28/2023
58462,19,13,19,18,A,2,1/28/2023
58460,18,6,12,16,D,2,1/28/2023
58423,13,10,9,13,D,2,1/28/2023
58536,21,10,17,14,C,2,1/28/2023
58780,19,9,16,15,C,2,1/28/2023
59274,18,8,17,14,C,2,1/28/2023
58514,18,13,13,12,C,2,1/28/2023
58562,18,11,17,20,B,2,1/28/2023
58869,13,4,7,8,E,2,1/28/2023
58517,15,7,14,10,E,2,1/28/2023
58737,12,4,10,8,E,2,1/28/2023
58421,17,11,14,11,C,2,1/28/2023
59455,17,9,17,16,C,2,1/28/2023
59753,19,5,18,13,C,2,1/28/2023
58808,12,5,13,9,E,2,1/28/2023
58952,18,8,17,17,C,2,1/28/2023
58662,18,10,12,16,C,2,1/28/2023
58424,20,11,17,10,D,2,1/28/2023
58984,13,4,10,5,E,2,1/28/2023
58501,19,14,18,19,A,2,1/28/2023
58643,18,8,12,12,C,2,1/28/2023
58461,20,12,14,14,C,2,1/28/2023
58392,19,9,16,14,C,2,1/28/2023
58479,12,3,8,16,D,2,1/28/2023
58908,18,7,14,17,C,2,1/28/2023
58592,19,7,14,17,C,2,1/28/2023
58438,18,9,17,15,C,2,1/28/2023
58696,15,3,9,5,E,2,1/28/2023
58447,19,10,16,20,B,2,1/28/2023
58730,15,5,14,17,D,2,1/28/2023
58939,17,13,15,16,B,2,1/28/2023
59308,18,11,19,19,B,2,1/28/2023
59214,18,9,14,14,C,2,1/28/2023
59504,21,4,17,14,C,2,1/28/2023
59700,12,4,11,5,E,2,1/28/2023
58481,18,12,18,17,B,2,1/28/2023
58543,17,8,15,18,C,2,1/28/2023
58961,21,15,18,20,A,2,1/28/2023
58560,19,12,18,17,B,2,1/28/2023
58889,11,2,4,5,E,2,1/28/2023
58535,16,7,14,6,E,2,1/28/2023
58476,19,5,15,18,C,2,1/28/2023
58524,17,7,12,17,C,2,1/28/2023
58390,21,9,18,20,B,2,1/28/2023
58440,14,10,13,14,C,2,1/28/2023
58520,13,4,11,13,D,2,1/28/2023
58980,17,8,13,13,C,2,1/28/2023
58713,15,6,16,17,C,2,1/28/2023
58925,20,6,12,14,C,2,1/28/2023
58595,10,2,7,6,E,2,1/28/2023
59512,14,3,10,13,D,2,1/28/2023
59458,20,11,15,14,C,2,1/28/2023
59510,12,3,7,8,E,2,1/28/2023
60037,9,3,5,5,E,2,1/28/2023
58855,13,5,12,9,E,2,1/28/2023
58794,20,8,18,17,B,2,1/28/2023
58748,20,12,11,13,C,2,1/28/2023
58386,17,8,16,17,C,2,1/28/2023
58903,20,10,17,17,B,2,1/28/2023
58532,10,3,7,7,E,2,1/28/2023
58349,19,8,15,13,C,2,1/28/2023
58383,15,4,13,13,D,2,1/28/2023
58799,15,3,15,11,D,2,1/28/2023
58485,17,5,13,8,E,2,1/28/2023
58897,21,14,20,19,A,2,1/28/2023
58338,21,9,3,11,D,2,1/28/2023
58634,12,3,8,10,E,2,1/28/2023
59317,16,5,11,11,D,2,1/28/2023
58673,13,9,13,13,D,2,1/28/2023
58752,22,9,14,15,C,2,1/28/2023
58646,17,7,14,13,C,2,1/28/2023
59432,19,14,17,20,B,2,1/28/2023
59456,22,14,18,20,A,2,1/28/2023
59481,13,4,8,17,D,2,1/28/2023
59586,16,10,14,20,C,2,1/28/2023
60040,21,14,18,20,A,2,1/28/2023
58406,20,8,17,19,C,2,1/28/2023
58954,15,9,12,18,D,2,1/28/2023
58394,14,7,17,19,D,2,1/28/2023
58985,12,3,9,8,E,2,1/28/2023
58857,12,7,7,8,E,2,1/28/2023
58826,18,10,16,18,C,2,1/28/2023
58508,20,12,19,17,B,2,1/28/2023
58578,20,10,16,13,C,2,1/28/2023
58564,16,7,17,14,C,2,1/28/2023
58480,18,9,14,19,C,2,1/28/2023
58797,16,10,18,15,C,2,1/28/2023
58960,19,10,15,12,C,2,1/28/2023
58874,20,15,20,16,B,2,1/28/2023
58551,21,13,15,15,B,2,1/28/2023
58493,14,3,14,10,E,2,1/28/2023
58899,13,1,11,10,E,2,1/28/2023
59417,18,10,19,15,B,2,1/28/2023
58622,12,2,5,8,E,2,1/28/2023
59449,6,3,11,0,E,2,1/28/2023
59434,11,2,8,10,E,2,1/28/2023
58356,18,37,23,20,A,3,2/4/2023
58378,12,6,16,10,E,3,2/4/2023
58313,18,23,17,18,C,3,2/4/2023
58342,17,26,17,16,C,3,2/4/2023
58371,14,32,20,19,B,3,2/4/2023
58381,17,12,12,12,D,3,2/4/2023
58398,18,34,23,20,A,3,2/4/2023
58389,15,24,17,18,C,3,2/4/2023
58329,17,23,19,20,C,3,2/4/2023
58314,15,24,17,17,C,3,2/4/2023
58355,12,10,14,16,D,3,2/4/2023
59257,14,16,14,18,D,3,2/4/2023
58379,19,30,22,19,A,3,2/4/2023
58385,13,17,16,19,C,3,2/4/2023
58312,11,15,15,19,D,3,2/4/2023
59755,13,8,8,14,D,3,2/4/2023
58846,18,33,22,19,A,3,2/4/2023
58428,15,29,23,19,B,3,2/4/2023
59009,16,17,18,18,C,3,2/4/2023
59166,12,16,16,19,D,3,2/4/2023
58810,17,29,20,20,B,3,2/4/2023
59394,14,34,20,19,B,3,2/4/2023
59412,18,35,25,20,A,3,2/4/2023
59271,19,22,20,19,C,3,2/4/2023
59375,15,23,16,14,C,3,2/4/2023
59525,11,23,16,18,C,3,2/4/2023
59701,10,7,7,7,E,3,2/4/2023
59706,9,6,4,15,D,3,2/4/2023
59633,17,29,20,17,B,3,2/4/2023
59952,17,33,23,17,B,3,2/4/2023
58553,14,11,8,12,D,3,2/4/2023
58834,16,24,15,17,C,3,2/4/2023
58518,12,12,12,18,D,3,2/4/2023
58873,13,17,16,12,D,3,2/4/2023
58571,13,27,12,20,C,3,2/4/2023
58468,17,24,20,19,C,3,2/4/2023
58593,5,10,11,7,E,3,2/4/2023
58775,13,26,21,20,C,3,2/4/2023
58613,18,14,16,19,C,3,2/4/2023
58365,18,32,23,17,B,3,2/4/2023
59105,13,22,14,11,C,3,2/4/2023
58656,8,9,16,19,D,3,2/4/2023
59228,14,17,18,13,C,3,2/4/2023
59839,13,26,20,20,C,3,2/4/2023
58407,14,18,14,16,D,3,2/4/2023
58554,16,21,17,18,C,3,2/4/2023
58519,14,4,12,15,D,3,2/4/2023
58822,11,33,19,19,B,3,2/4/2023
58981,18,22,12,12,C,3,2/4/2023
58875,11,21,13,19,D,3,2/4/2023
58757,14,33,21,16,B,3,2/4/2023
58550,15,26,17,12,C,3,2/4/2023
58630,14,18,17,18,C,3,2/4/2023
58742,18,17,18,15,C,3,2/4/2023
58603,16,20,18,16,C,3,2/4/2023
59015,15,25,23,14,C,3,2/4/2023
58988,10,18,9,14,D,3,2/4/2023
59005,11,11,10,8,E,3,2/4/2023
58964,15,18,17,10,D,3,2/4/2023
59344,17,21,20,14,C,3,2/4/2023
59540,14,21,11,12,C,3,2/4/2023
59549,14,33,20,20,B,3,2/4/2023
58750,14,10,15,18,D,3,2/4/2023
58892,17,35,23,18,A,3,2/4/2023
58412,9,8,11,12,D,3,2/4/2023
59038,14,21,19,17,C,3,2/4/2023
58990,8,11,10,11,D,3,2/4/2023
58419,18,28,20,17,B,3,2/4/2023
58819,17,14,12,12,D,3,2/4/2023
58420,16,32,18,20,B,3,2/4/2023
58644,18,27,15,19,C,3,2/4/2023
58667,9,11,15,11,D,3,2/4/2023
58491,12,7,11,9,E,3,2/4/2023
58848,17,31,17,18,C,3,2/4/2023
58351,13,15,10,14,D,3,2/4/2023
58803,13,17,19,14,C,3,2/4/2023
58968,19,25,21,10,D,3,2/4/2023
59677,15,22,16,9,D,3,2/4/2023
59469,5,1,8,0,E,3,2/4/2023
59445,18,34,23,18,A,3,2/4/2023
59665,15,36,22,20,A,3,2/4/2023
58965,8,5,11,11,D,3,2/4/2023
59089,20,30,19,17,B,3,2/4/2023
58470,10,26,15,12,C,3,2/4/2023
58958,14,12,15,13,D,3,2/4/2023
58785,18,36,21,20,A,3,2/4/2023
58969,19,36,19,17,B,3,2/4/2023
58692,19,33,18,19,B,3,2/4/2023
58335,19,30,23,19,A,3,2/4/2023
58459,17,29,24,16,B,3,2/4/2023
58660,16,23,20,15,C,3,2/4/2023
58818,17,24,15,15,C,3,2/4/2023
59088,16,34,17,18,B,3,2/4/2023
58706,9,8,10,9,E,3,2/4/2023
58850,19,33,21,16,B,3,2/4/2023
59501,18,25,21,19,B,3,2/4/2023
59509,11,9,12,17,D,3,2/4/2023
59784,8,18,14,12,D,3,2/4/2023
58703,17,21,15,17,C,3,2/4/2023
58827,18,29,22,20,B,3,2/4/2023
58599,15,27,17,16,C,3,2/4/2023
58627,19,30,22,17,B,3,2/4/2023
58898,12,5,11,9,E,3,2/4/2023
58483,12,28,20,15,C,3,2/4/2023
58867,16,31,20,18,B,3,2/4/2023
58340,15,26,20,18,C,3,2/4/2023
58509,17,25,19,16,C,3,2/4/2023
59082,10,11,14,12,D,3,2/4/2023
59090,17,28,23,18,B,3,2/4/2023
58966,13,25,18,11,C,3,2/4/2023
59039,16,31,22,20,A,3,2/4/2023
59442,9,16,18,14,D,3,2/4/2023
59559,14,25,17,16,C,3,2/4/2023
59552,13,23,18,11,C,3,2/4/2023
59732,11,29,24,20,B,3,2/4/2023